timestamp,mae,rmse,mape,bias,n_train,n_holdout
20260404002222,5348.6265556987455,10884.236682471275,64.78031983481786,-1361.9128469685509,630,283
20260404012301,5415.56518732178,10957.822962580256,66.42245114479807,-1212.6110036422235,627,288
20260404022257,5331.356959283387,10579.090715573417,67.72995848752589,-936.942752097782,626,291
20260404032302,5269.145185916151,10655.273038474132,65.33884367662453,-984.187574699941,623,294
20260404042317,5211.573353757031,10664.892261207722,64.76304822495615,-1087.086907411188,622,295
20260404052407,7360.050283192119,14274.197449389896,101.82538406992072,1976.3910544685111,867,50
20260404062348,7360.050283192119,14274.197449389896,101.82538406992072,1976.3910544685111,867,50
20260404072347,5360.102382942264,10899.662433469864,65.17393829461828,104.063363597228,804,114
20260404082334,5988.792043108228,10842.707336737856,75.0818323256674,-66.93225580508755,774,144
20260404092323,5017.667211237684,9770.081009933354,58.35784493927636,-7.862919770334763,752,166
20260404102310,6402.282158671107,13920.97682930313,49.33963360144568,-5420.150599080099,733,186
20260404112302,4768.744488584438,9654.941255241452,54.90994958442877,-265.73547486173555,720,199
20260404122331,4993.084801106524,10291.827434184132,61.57820791167838,-254.5270253087313,698,221
20260404132327,5447.078891942018,9854.54767309381,75.53758632334682,-228.17799395355885,683,236
20260404142320,5225.351172864622,10120.443414913783,72.25828270763277,-27.170188625417687,672,249
20260404152314,5225.351172864622,10120.443414913783,72.25828270763277,-27.170188625417687,672,249
20260404162319,5668.931884722741,10247.823400418147,78.13674474123789,-612.7332567983209,655,268
